Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
122013A,Proserpine River at Glen Isla,7/1/2021 3:59,0.15,<0.01,1.1,<0.02,1,<0.02,0.27,<0.02,1.5,0.95,1.6,0.1,0.1,0.33,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,7/1/2021 15:30,0.12,<0.01,0.27,<0.02,0.42,<0.02,0.07,<0.02,0.96,0.51,1.4,0.02,0.04,0.28,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,8/1/2021 4:39,0.26,<0.01,0.5,<0.02,0.65,<0.02,0.14,<0.02,0.93,0.58,1.7,0.07,0.07,0.36,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,8/1/2021 15:00,0.19,<0.01,0.31,<0.02,0.4,<0.02,0.06,<0.02,0.46,0.35,1.3,0.04,0.02,0.28,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,0.06
122013A,Proserpine River at Glen Isla,8/1/2021 23:45,0.1,<0.01,0.32,<0.02,0.56,<0.02,0.08,<0.02,0.73,0.49,1.3,0.05,0.03,0.32,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,9/1/2021 5:15,0.06,<0.01,0.19,<0.02,0.34,<0.02,<0.05,<0.02,0.41,0.24,0.8,<0.02,0.02,0.17,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,9/1/2021 12:40,0.03,<0.01,0.05,<0.02,0.1,<0.02,<0.05,<0.02,0.06,0.07,0.1,<0.02,<0.01,0.03,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,10/1/2021 4:18,0.09,<0.01,0.27,<0.02,0.75,<0.02,0.06,<0.02,0.41,0.19,1.2,0.03,0.03,0.32,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,10/1/2021 15:18,0.06,<0.01,0.21,<0.02,0.5,<0.02,0.06,<0.02,0.4,0.18,1,0.02,0.02,0.21,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,11/1/2021 20:00,0.05,<0.01,0.16,<0.02,0.35,<0.02,<0.05,<0.02,0.3,0.2,0.8,0.02,0.02,0.17,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
